,state,city,company,rank,rank_change,revenue,profit,num..of.employees,sector,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market.Cap,lat,lng,ranking_in_groups
535,NJ,Jersey City,Verisk Analytics,857,0,2607.1,449.9,9180,Business Services,,no,no,yes,NA,Scott G. Stephenson,https://www.verisk.com,VRSK,22729.5,40.7161,-74.0682,5
536,NJ,Kenilworth,Merck,69,7,46840,9843,71000,Health Care,no,no,no,yes,76,Kenneth C. Frazier,https://www.merck.com,MRK,208627,40.6781,-74.2889,1
537,NJ,Madison,Realogy Holdings,490,-12,5870,-188,10150,Financials,no,no,no,no,478,Ryan M. Schneider,https://www.realogy.com,RLGY,346.9,40.7586,-74.417,3
538,NJ,Matawan,Hovnanian Enterprises,991,0,2016.9,-42.1,1868,Engineering & Construction,,no,no,no,NA,Ara K. Hovnanian,https://www.khov.com,HOV,50.5,40.4127,-74.2365,5
539,NJ,New Brunswick,Johnson & Johnson,35,2,82059,15119,132200,Health Care,no,no,no,yes,37,Alex Gorsky,https://www.jnj.com,JNJ,427473,40.487,-74.445,1
540,NJ,Newark,Public Service Enterprise Group,317,6,10076,1693,12992,Energy,no,no,no,yes,323,Ralph Izzo,https://www.pseg.com,PEG,22685.3,40.7245,-74.1725,2
541,NJ,Newark,Prudential Financial (U.S.),53,-3,64807,4186,51511,Financials,no,no,no,yes,50,Charles F. Lowrey,https://www.prudential.com,PRU,33268,40.7245,-74.1725,1
542,NJ,Princeton,NRG Energy,324,-33,9871,4438,4577,Energy,no,no,no,yes,291,Mauricio Gutierrez,https://www.nrg.com,NRG,6829.8,40.3563,-74.6693,2
543,NJ,Roseland,Automatic Data Processing,227,12,14175.2,2292.8,58000,Business Services,no,no,no,yes,239,Carlos A. Rodriguez,https://www.adp.com,ADP,69618,40.8208,-74.3085,2
544,NJ,Secaucus,Quest Diagnostics,410,-6,7726,858,47000,Health Care,no,no,no,yes,404,Stephen H. Rusckowski,https://www.questdiagnostics.com,DGX,17164,40.781,-74.0659,3
545,NJ,Somerset,Catalent,869,0,2518,137.4,12300,Health Care,,no,no,yes,NA,John R. Chiminski,https://www.catalent.com,CTLT,8045.1,40.5083,-74.501,5
546,NV,Las Vegas,Caesars Holdings,363,2,8742,-1195,64000,"Hotels, Restaurants & Leisure",no,no,no,no,365,Thomas R. Reeg,https://www.caesars.com,,4612.1,36.2333,-115.2654,2
547,NV,Las Vegas,MGM Resorts International,249,17,12899.7,2049.1,72000,"Hotels, Restaurants & Leisure",no,no,no,yes,266,William J. Hornbuckle IV,https://www.mgmresorts.com,MGM,15366,36.2333,-115.2654,2
548,NV,Las Vegas,Scientific Games,711,0,3400,-130,9800,"Hotels, Restaurants & Leisure",,no,no,no,NA,Barry L. Cottle,https://www.scientificgames.com,SGMS,910.5,36.2333,-115.2654,4
549,NV,Las Vegas,Wynn Resorts,454,-6,6611.1,123,30200,"Hotels, Restaurants & Leisure",no,no,no,yes,448,Matthew O. Maddox,https://www.wynnresorts.com,WYNN,11874,36.2333,-115.2654,3
550,NV,Las Vegas,Las Vegas Sands,235,-5,13739,2698,50000,"Hotels, Restaurants & Leisure",no,yes,no,yes,230,Sheldon G. Adelson,https://www.sands.com,LVS,41576,36.2333,-115.2654,2
551,NV,Las Vegas,Southwest Gas Holdings,757,0,3119.9,213.9,8944,Energy,,no,no,yes,NA,John P. Hester,https://www.swgasholdings.com,SWX,3834,36.2333,-115.2654,4
552,NV,Las Vegas,Boyd Gaming,728,0,3326.1,157.6,24300,"Hotels, Restaurants & Leisure",,no,no,yes,NA,Keith E. Smith,https://www.boydgaming.com,BYD,1609.4,36.2333,-115.2654,4
553,NV,Reno,Caesars Entertainment,868,0,2528.2,81,15500,"Hotels, Restaurants & Leisure",,no,no,yes,NA,Thomas R. Reeg,https://www.eldoradoresorts.com,CZR,1120.3,39.5497,-119.8483,5
554,NV,Reno,Amerco,663,0,3768.7,370.9,21900,Transportation,,no,no,yes,NA,Edward J. Shoen,https://www.amerco.com,UHAL,5697,39.5497,-119.8483,4
555,NY,Armonk,IBM,38,0,77147,9431,383800,Technology,no,no,no,yes,38,Arvind Krishna,https://www.ibm.com,IBM,115909,41.132,-73.7137,1
556,NY,Buffalo,M&T Bank,438,24,6941.3,1929.1,17386,Financials,no,no,no,yes,462,René F. Jones,https://www.mtb.com,MTB,18440,42.9016,-78.8487,3
557,NY,Corning,Corning,277,2,11503,960,49500,Industrials,no,no,no,yes,279,Wendell P. Weeks,https://www.corning.com,GLW,15664.2,42.147,-77.0561,2
558,NY,East Aurora,Moog,800,0,2904.7,179.7,12809,Aerospace & Defense,,no,no,yes,NA,John R. Scannell,https://www.moog.com,MOGA,1713.1,42.7666,-78.6172,5
559,NY,Elmsford,Party City Holdco,907,0,2348.8,-532.5,14350,Retailing,,no,no,no,NA,Brad Weston,https://www.partycity.com,PRTY,43.3,41.0541,-73.8143,5
560,NY,Lake Success,Broadridge Financial Solutions,610,0,4362.2,482.1,11000,Business Services,,no,no,yes,NA,Timothy C. Gokey,https://www.broadridge.com,BR,10886.7,40.768,-73.7089,4
561,NY,Lake Success,Hain Celestial Group,836,0,2710.6,-183.3,5441,"Food, Beverages & Tobacco",,no,no,no,NA,Mark L. Schiller,https://www.hain.com,HAIN,2710.9,40.768,-73.7089,5
562,NY,Melville,Henry Schein,304,-62,10305.3,694.7,19000,Health Care,no,no,no,yes,242,Stanley M. Bergman,https://www.henryschein.com,HSIC,10021,40.7823,-73.4088,2
563,NY,Melville,MSC Industrial Direct,721,0,3363.8,288.9,6700,Wholesalers,,no,no,yes,NA,Erik Gershwind,https://www.mscdirect.com,MSM,3044.9,40.7823,-73.4088,4
564,NY,New York,Voya Financial,353,-10,8942,-351,6000,Financials,no,no,no,no,343,Rodney O. Martin Jr.,https://www.voya.com,VOYA,5366.2,40.6943,-73.9249,2
565,NY,New York,TIAA,81,-2,40454.4,2460.1,16533,Financials,no,no,no,yes,79,Roger W. Ferguson Jr.,https://www.tiaa-cref.org,,-,40.6943,-73.9249,1
566,NY,New York,Guardian Life Ins. Co. of America,238,6,13476.7,679.8,9032,Financials,no,no,no,yes,244,Andrew J. McMahon,https://www.guardianlife.com,,,40.6943,-73.9249,2
567,NY,New York,Infor,749,0,3171.2,142,17380,Technology,,no,no,yes,NA,Kevin Samuelson,https://www.infor.com,,,40.6943,-73.9249,4
568,NY,New York,Moody&#8217;s,561,0,4829,1422,11081,Business Services,,no,no,yes,NA,Robert Fauber,https://www.moodys.com,MCO,39594.4,40.6943,-73.9249,3
569,NY,New York,BlackRock,219,2,14539,4476,16200,Financials,no,no,no,yes,221,Laurence D. Fink,https://www.blackrock.com,BLK,113810,40.6943,-73.9249,2
570,NY,New York,G-III Apparel Group,752,0,3160.5,143.8,6050,Apparel,,no,no,yes,NA,Morris Goldfarb,https://www.giii.com,GIII,369.7,40.6943,-73.9249,4
571,NY,New York,Bank of New York Mellon,159,4,20822,4441,48400,Financials,no,no,no,yes,163,Thomas P. Gibbons,https://www.bnymellon.com,BK,29808.5,40.6943,-73.9249,1
572,NY,New York,MetLife,48,-4,69620,5899,49000,Financials,no,no,no,yes,44,Michel A. Khalaf,https://www.metlife.com,MET,46483,40.6943,-73.9249,1
573,NY,New York,Morgan Stanley,61,2,53823,9042,60431,Financials,no,no,no,yes,63,James P. Gorman,https://www.morganstanley.com,MS,135401,40.6943,-73.9249,1
574,NY,New York,Icahn Enterprises,352,-186,8992,-1098,28033,Financials,no,no,no,no,166,Keith Cozza,https://www.ielp.com,IEP,10365.7,40.6943,-73.9249,2
575,NY,New York,Centric Brands,957,0,2146.5,-273.5,3250,Apparel,,no,no,no,NA,Jason Rabin,https://www.centricbrands.com,CTRC,66.1,40.6943,-73.9249,5
576,NY,New York,Loews,212,14,14931,932,18605,Financials,no,no,no,yes,226,James S. Tisch,https://www.loews.com,L,10023,40.6943,-73.9249,2
577,NY,New York,Citigroup,31,-1,103449,19401,200000,Financials,no,no,yes,yes,30,Jane Fraser,https://www.citigroup.com,C,131684,40.6943,-73.9249,1
578,NY,New York,Marsh & McLennan,195,15,16652,1742,76000,Financials,no,no,no,yes,210,Daniel S. Glaser,https://www.mmc.com,MMC,43567,40.6943,-73.9249,1
579,NY,New York,Omnicom Group,211,-5,14953.7,1339.1,70000,Business Services,no,no,no,yes,206,John D. Wren,https://www.omnicomgroup.com,OMC,11906,40.6943,-73.9249,2
580,NY,New York,Jefferies Financial Group,520,0,5358.7,964.7,4800,Financials,,no,no,yes,NA,Richard B. Handler,https://www.jefferies.com,JEF,3788.1,40.6943,-73.9249,3
581,NY,New York,Foot Locker,397,-12,8005,491,33294,Retailing,no,no,no,yes,385,Richard A. Johnson,https://www.footlocker-inc.com,FL,2297.4,40.6943,-73.9249,2
582,NY,New York,Presidio,778,0,3026.1,35.2,2900,Technology,,no,no,yes,NA,Robert Cagnazzi,https://www.presidio.com,,,40.6943,-73.9249,4
583,NY,New York,PVH,322,2,9909,417.3,30750,Apparel,no,no,no,yes,324,Stefan Larsson,https://www.pvh.com,PVH,2746.2,40.6943,-73.9249,2
584,NY,New York,Barnes & Noble,685,0,3552.7,3.8,15538,Retailing,,no,no,yes,NA,James Daunt,https://www.barnesandnobleinc.com,,,40.6943,-73.9249,4
585,NY,New York,Pfizer,64,-3,51750,16273,88300,Health Care,no,no,no,yes,61,Albert Bourla,https://www.pfizer.com,PFE,202882,40.6943,-73.9249,1
586,NY,New York,ViacomCBS,111,106,27812,3308,26280,Media,no,no,no,yes,217,Robert M. Bakish,https://www.viacbs.com,VIAC,16130,40.6943,-73.9249,1
587,NY,New York,Tapestry,485,-1,6027.1,643.4,17400,Apparel,no,no,yes,yes,484,Joanne Crevoiserat,https://www.tapestry.com,TPR,3574.6,40.6943,-73.9249,3
588,NY,New York,JPMorgan Chase,17,1,142422,36431,256981,Financials,no,no,no,yes,18,James Dimon,https://www.jpmorganchase.com,JPM,414465,40.6943,-73.9249,1
589,NY,New York,StoneX Group,100,12,32897,85.1,2012,Financials,no,no,no,yes,112,Sean O'Connor,https://www.stonex.com,SNEX,988,40.6943,-73.9249,1
590,NY,New York,J.Crew Group,866,0,2540.1,-78.8,9400,Retailing,,no,yes,no,NA,Libby Wadle,https://www.jcrew.com,,,40.6943,-73.9249,5
591,NY,New York,S&P Global,451,19,6699,2123,22500,Business Services,no,no,no,yes,470,Douglas L. Peterson,https://www.spglobal.com,SPGI,77459,40.6943,-73.9249,3
592,NY,New York,Evercore,988,0,2028.8,297.4,1900,Financials,,no,no,yes,NA,Ralph L. Schlosstein/John S. Weinberg,https://www.evercore.com,EVR,1871.9,40.6943,-73.9249,5
593,NY,New York,Bristol-Myers Squibb,115,23,26145,3439,30000,Health Care,no,no,no,yes,138,Giovanni Caforio,https://www.bms.com,BMY,149709,40.6943,-73.9249,1
594,NY,New York,News Corp.,318,23,10074,155,28000,Media,no,no,no,yes,341,Robert J. Thomson,https://www.newscorp.com,NWSA,5279.7,40.6943,-73.9249,2
595,NY,New York,BGC Partners,963,0,2104.2,55.7,5200,Financials,,no,no,yes,NA,Howard W. Lutnick,https://www.bgcpartners.com,BGCP,894.3,40.6943,-73.9249,5
596,NY,New York,American International Group,66,0,49746,3348,46000,Financials,no,no,no,yes,66,Peter S. Zaffino,https://www.aig.com,AIG,27682,40.6943,-73.9249,1
597,NY,New York,Interpublic Group,308,14,10221.3,656,54300,Business Services,no,no,no,yes,322,Philippe Krakowsky,https://www.interpublic.com,IPG,6278.9,40.6943,-73.9249,2
598,NY,New York,American Express,67,5,47020,6759,64500,Financials,no,no,no,yes,72,Stephen J. Squeri,https://www.americanexpress.com,AXP,103823,40.6943,-73.9249,1
599,NY,New York,Colgate-Palmolive,203,-1,15693,2367,34300,Household Products,no,no,no,yes,202,Noel R. Wallace,https://www.colgatepalmolive.com,CL,68745,40.6943,-73.9249,2
600,NY,New York,Alleghany,351,86,9040.7,857.8,10786,Financials,no,no,no,yes,437,Weston M. Hicks,https://www.alleghany.com,Y,7923.5,40.6943,-73.9249,2
601,NY,New York,Blackstone Group,420,22,7338.3,2049.7,2905,Financials,no,yes,no,yes,442,Stephen A. Schwarzman,https://www.blackstone.com,BX,30696.4,40.6943,-73.9249,3
